25769803776,BLOCK,-1,,"{
    char password[10];
    printf(""Enter the password: "");
    gets(password); // Vulnerable: no bounds checking
    if (strcmp(password, ""secret"") == 0) {
        printf(""Access granted!\\n"");
    } else {
        printf(""Access denied!\\n"");
    }
    return 0;
}",12,,5,,,1,,void
25769803777,BLOCK,-1,,"{
        printf(""Access granted!\\n"");
    }",42,,9,,,2,,void
25769803778,BLOCK,-1,,"{
        printf(""Access denied!\\n"");
    }",12,,11,,,1,,void
25769803779,BLOCK,-1,,<empty>,1,,1,,,1,,ANY
25769803780,BLOCK,-1,,<empty>,,,,,,1,,ANY
25769803781,BLOCK,1,,<empty>,,,,,,1,,ANY
25769803782,BLOCK,1,,<empty>,,,,,,1,,ANY
25769803783,BLOCK,1,,<empty>,,,,,,1,,ANY
25769803784,BLOCK,1,,<empty>,,,,,,1,,ANY
25769803785,BLOCK,1,,<empty>,,,,,,1,,ANY
25769803786,BLOCK,1,,<empty>,,,,,,1,,ANY
